instruction,source,target
Terjemahkan ke bahasa Indonesia baku.,Ko su mendengar berita?,Apakah kamu mendengar berita?
Terjemahkan ke bahasa Indonesia baku.,Ko su pergi ke sekolah?,Apakah kamu pergi ke sekolah?
Terjemahkan ke bahasa Indonesia baku.,Tong mau ke pasar malam,Kami mau pergi ke pasar malam
Terjemahkan ke bahasa Indonesia baku.,Kam beli sayur di pasar,Mereka membeli sayur di pasar
Terjemahkan ke bahasa Indonesia baku.,Kam beli sayur dan ikan,Mereka membeli sayur dan ikan
Terjemahkan ke bahasa Indonesia baku.,Trada kopi di dapur kam,Tidak ada kopi di dapur mereka
Terjemahkan ke bahasa Indonesia baku.,Kam lagi main voli pagi,Mereka sedang bermain voli pagi
Terjemahkan ke bahasa Indonesia baku.,Kam lagi main bola sore,Mereka sedang bermain bola sore
Terjemahkan ke bahasa Indonesia baku.,Ey ye ye beb sa ijin eh,"Halo, izin dulu ya (sapa santai)"
Terjemahkan ke bahasa Indonesia baku.,Ko yang tau ko pu rumah,Kamu yang tahu segala di rumahku
Terjemahkan ke bahasa Indonesia baku.,Jang percaya lidah sagu,Jangan terpengaruh omongan orang
Terjemahkan ke bahasa Indonesia baku.,Tapi sa malu mo kas tau,Tapi aku malu untuk mengatakannya
Terjemahkan ke bahasa Indonesia baku.,Sunglah tong dua jadian,Akhirnya kita berdua jadi pasangan
Terjemahkan ke bahasa Indonesia baku.,Sa su janji deng maetua,Aku sudah berjanji pada orangtuaku
Terjemahkan ke bahasa Indonesia baku.,Karna alasan tra kabari,Karena alasan tidak memberi kabar.
Terjemahkan ke bahasa Indonesia baku.,Di belakang baku jaga e,Saling jaga di belakang (diam-diam)
Terjemahkan ke bahasa Indonesia baku.,Kam ke warung beli roti,Mereka pergi ke warung membeli roti
Terjemahkan ke bahasa Indonesia baku.,Jangan susah tra ganggu,Jangan ganggu jika kamu tidak serius
Terjemahkan ke bahasa Indonesia baku.,Hati tageser ke lambung,Hati ini terasa seperti diaduk dalam dada
Terjemahkan ke bahasa Indonesia baku.,Oh adoh-adoh jang ganggu,"Aduh, jangan ganggu"
Terjemahkan ke bahasa Indonesia baku.,Itu anak baik skali kah?,Anak itu sangat baik?
Terjemahkan ke bahasa Indonesia baku.,Ko hancurkan sa pu cinta,Kamu hancurkan cintaku
Terjemahkan ke bahasa Indonesia baku.,Tibatiba saja mo kembali,Tiba-tiba ingin kembali
Terjemahkan ke bahasa Indonesia baku.,Ko su mandi pagi dorang?,Apakah kamu mandi pagi?
Terjemahkan ke bahasa Indonesia baku.,Ko su bermain HP dorang?,Apakah kamu bermain HP?
Terjemahkan ke bahasa Indonesia baku.,Beta mau pigi pasar kah?,Saya mau pergi ke pasar?
Terjemahkan ke bahasa Indonesia baku.,Tara boleh stop na na na,Jangan berhenti na na na
Terjemahkan ke bahasa Indonesia baku.,Beginilah jaman sekarang,Beginilah zaman sekarang
Terjemahkan ke bahasa Indonesia baku.,Nih barang semakin deras,Perasaan ini makin besar
Terjemahkan ke bahasa Indonesia baku.,Ko su tidur siang trada?,Apakah kamu tidur siang?
Terjemahkan ke bahasa Indonesia baku.,Ada acax sebelah sana eh,Ada teman di sebelah sana
Terjemahkan ke bahasa Indonesia baku.,Hati ko ikat tra berdaya,Hatimu terikat tanpa daya
Terjemahkan ke bahasa Indonesia baku.,Baru datang cari-cari sa,Baru datang cari-cari aku
Terjemahkan ke bahasa Indonesia baku.,Tuk tong dua pu hubungan,Untuk hubungan kita berdua
Terjemahkan ke bahasa Indonesia baku.,Sa naik motor ke sekolah,Saya naik motor ke sekolah
Terjemahkan ke bahasa Indonesia baku.,Sa menonton film kemarin,Saya menonton film kemarin
Terjemahkan ke bahasa Indonesia baku.,Sa menyapu halaman rumah,Saya menyapu halaman rumah
Terjemahkan ke bahasa Indonesia baku.,Sa belajar menulis huruf,Saya belajar menulis huruf
Terjemahkan ke bahasa Indonesia baku.,Sa akan pergi ke sekolah,Saya akan pergi ke sekolah
Terjemahkan ke bahasa Indonesia baku.,Sa menulis cerita pendek,Saya menulis cerita pendek
Terjemahkan ke bahasa Indonesia baku.,Sa makan siang di kantin,Saya makan siang di kantin
Terjemahkan ke bahasa Indonesia baku.,Dorang masak sayur malam,Mereka memasak sayur malam
Terjemahkan ke bahasa Indonesia baku.,Dorang masak ayam goreng,Mereka memasak ayam goreng
Terjemahkan ke bahasa Indonesia baku.,Dong semua datang tadi e,Mereka semua datang tadi ya
Terjemahkan ke bahasa Indonesia baku.,Tra usah jadi pengganggu,Tidak perlu jadi pengganggu
Terjemahkan ke bahasa Indonesia baku.,Su tra bisa lagi bersama,Aku tidak bisa lagi bersama
Terjemahkan ke bahasa Indonesia baku.,Bandar adoo jang kas rem,Bandar jangan berhenti dulu
Terjemahkan ke bahasa Indonesia baku.,Macam tra pernah percaya,Seakan tidak pernah percaya
Terjemahkan ke bahasa Indonesia baku.,Kio tra balas sa pu rasa,Kamu tidak balas perasaanku
Terjemahkan ke bahasa Indonesia baku.,Pasti sa ada jangan ragu,Pasti saya ada jangan ragu.
Terjemahkan ke bahasa Indonesia baku.,Jadi pedih yang tra muat,Jadi sakit yang tak tertahan
Terjemahkan ke bahasa Indonesia baku.,Kalau memang ko su bosan,Jika memang kamu sudah bosan
Terjemahkan ke bahasa Indonesia baku.,karna sa sayang sa minta,"karena aku sayang, aku minta"
Terjemahkan ke bahasa Indonesia baku.,Sa hancur parah karna ko,Aku hancur parah karena kamu
Terjemahkan ke bahasa Indonesia baku.,Sa maitua su marah-marah,Orangtuaku sudah marah-marah
Terjemahkan ke bahasa Indonesia baku.,Percuma selama ini setia,Percuma selama ini aku setia
Terjemahkan ke bahasa Indonesia baku.,Ko su bicara sama siapa?,Kamu berbicara dengan siapa?
Terjemahkan ke bahasa Indonesia baku.,Sa mau ikut bermain bola,Saya ingin ikut bermain bola
Terjemahkan ke bahasa Indonesia baku.,Trada listrik tadi malam,Tidak ada listrik tadi malam
Terjemahkan ke bahasa Indonesia baku.,Trada air panas di dapur,Tidak ada air panas di dapur
Terjemahkan ke bahasa Indonesia baku.,Trada kopi hitam di meja,Tidak ada kopi hitam di meja
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di sekolah,Tidak ada listrik di sekolah
Terjemahkan ke bahasa Indonesia baku.,Trada air di sumur depan,Tidak ada air di sumur depan
Terjemahkan ke bahasa Indonesia baku.,Trada kopi di meja dapur,Tidak ada kopi di meja dapur
Terjemahkan ke bahasa Indonesia baku.,Ko bilang apa barusan? e,Apa yang kamu bilang tadi? ya
Terjemahkan ke bahasa Indonesia baku.,Ko stel kaka macam remot,Kau atur hatiku seperti remot
Terjemahkan ke bahasa Indonesia baku.,Terjatuh mencoba bangkit,"Terluka, mencoba bangkit lagi"
Terjemahkan ke bahasa Indonesia baku.,Jika hati masih terbelah,Jika hatimu masih terbagi dua
Terjemahkan ke bahasa Indonesia baku.,Katanya dia mau perbaiki,Dia bilang dia mau memperbaiki
Terjemahkan ke bahasa Indonesia baku.,Kaget cinta deng ko pele,Sangat terkejut dengan cintamu
Terjemahkan ke bahasa Indonesia baku.,Sa su cinta mati sama ko,Aku sudah cinta mati sama kamu
Terjemahkan ke bahasa Indonesia baku.,Ko su memasak malam ini?,Apakah kamu memasak malam ini?
Terjemahkan ke bahasa Indonesia baku.,Ko su bermain permainan?,Apakah kamu bermain permainan?
Terjemahkan ke bahasa Indonesia baku.,Tong ke pantai sore hari,Kami pergi ke pantai sore hari
Terjemahkan ke bahasa Indonesia baku.,Ko bikin sa begini terus,Kamu selalu buat saya seperti ini
Terjemahkan ke bahasa Indonesia baku.,Selesai rasa usaha ingat,"Selesai semua usaha, ingat selalu"
Terjemahkan ke bahasa Indonesia baku.,Dong mo pi pasar sore in,Mereka mau pergi ke pasar sore ini
Terjemahkan ke bahasa Indonesia baku.,Kaya ko yang banyak uang,Kaya seperti kamu yang banyak uang
Terjemahkan ke bahasa Indonesia baku.,Datang culik langsung go,"Kamu datang, culik, langsung pergi"
Terjemahkan ke bahasa Indonesia baku.,Trada minyak goreng tong,Tidak ada minyak goreng di rumah kami
Terjemahkan ke bahasa Indonesia baku.,Bukan berarti baku marah,Hal itu bukan berarti kita saling marah
Terjemahkan ke bahasa Indonesia baku.,Selesai tara mau sama ko,"Sudah selesai, aku tidak mau lagi sama kamu"
Terjemahkan ke bahasa Indonesia baku.,Ko datang kini sapu rata,Kamu datang sekarang dan menghancurkan semuanya
Terjemahkan ke bahasa Indonesia baku.,Saswar ayena wafur na be,(Ungkapan daerah: tanda perpisahan dan kesedihan)
Terjemahkan ke bahasa Indonesia baku.,Yanina doni fakor reksoi,(Tidak dapat diterjemahkan dialek/arti tidak jelas)
Terjemahkan ke bahasa Indonesia baku.,Sa pung kepala sakit kah?,Kepala saya sakit?
Terjemahkan ke bahasa Indonesia baku.,Dia tra ada di rumah kah?,Dia tidak ada di rumah?
Terjemahkan ke bahasa Indonesia baku.,Sa tinggal di Sorong kah?,Saya tinggal di Sorong?
Terjemahkan ke bahasa Indonesia baku.,Sa tolak deng berkat naik,Aku tolak keberatan naik
Terjemahkan ke bahasa Indonesia baku.,Ko su makan siang dorang?,Apakah kamu makan siang?
Terjemahkan ke bahasa Indonesia baku.,Ko su tidur siang dorang?,Apakah kamu tidur siang?
Terjemahkan ke bahasa Indonesia baku.,Kaka tidak mampu uwow uwo,"Kau tidak mampu, uwow uwo"
Terjemahkan ke bahasa Indonesia baku.,Jang mangga jatuh ka dara,"Jangan sampai jatuh, nona"
Terjemahkan ke bahasa Indonesia baku.,Sa bawa sa bawa dalam doa,Aku bawa namamu dalam doa
Terjemahkan ke bahasa Indonesia baku.,"Farek deng ko, perem awer","Sudah cukup, aku menyerah"
Terjemahkan ke bahasa Indonesia baku.,Dorang membaca novel lama,Mereka membaca novel lama
Terjemahkan ke bahasa Indonesia baku.,Tong pergi ke pasar malam,Kami pergi ke pasar malam
Terjemahkan ke bahasa Indonesia baku.,Dorang membaca buku novel,Mereka membaca buku novel
Terjemahkan ke bahasa Indonesia baku.,Ko deng dia ada hubungan?,Kamu dan dia ada hubungan?
Terjemahkan ke bahasa Indonesia baku.,Ade yang itu boleh sa mau,Orang itu boleh aku miliki
Terjemahkan ke bahasa Indonesia baku.,Cinta palsu yang ko kasih,Cinta palsu yang kamu beri
Terjemahkan ke bahasa Indonesia baku.,Cukup sa saja ko kas luka,Biarkan hanya aku yang luka
Terjemahkan ke bahasa Indonesia baku.,Atau argument ko sa jumpa,Atau argumen yang aku temui
Terjemahkan ke bahasa Indonesia baku.,Karna usaha yang sa kejar,Karena usaha yang aku kejar
Terjemahkan ke bahasa Indonesia baku.,Tolong hiasi.rindu dihati,Tolong hias rinduku di hati
Terjemahkan ke bahasa Indonesia baku.,Siapa yang buat ku begini,Siapa yang membuatku begini
Terjemahkan ke bahasa Indonesia baku.,Ingat sayang sa masih ada,"Ingat sayang, aku masih ada"
Terjemahkan ke bahasa Indonesia baku.,Pikir apa sa yang masukan,Pikir apa yang aku masukkan
Terjemahkan ke bahasa Indonesia baku.,Buat sa semakin penasaran,Membuatku semakin penasaran
Terjemahkan ke bahasa Indonesia baku.,Sa berbicara dengan teman,Saya berbicara dengan teman
Terjemahkan ke bahasa Indonesia baku.,Jang sampe setan berpihak,Jangan sampai setan berpihak
Terjemahkan ke bahasa Indonesia baku.,Pilot gung mau terbangkan,Pilotnya siap menerbangkanku
Terjemahkan ke bahasa Indonesia baku.,Penuhi kasihagar tak mati,Penuhi kasih agar tidak mati
Terjemahkan ke bahasa Indonesia baku.,Akhirnya de yang dapat ko,Akhirnya dia yang mendapatmu
Terjemahkan ke bahasa Indonesia baku.,Ko pung mama ada di rumah,Kamu punya mama ada di rumah?
Terjemahkan ke bahasa Indonesia baku.,Ada ko ada hati yang free,"Ada kamu, ada hati yang bebas"
Terjemahkan ke bahasa Indonesia baku.,Sajujur ni sa ni tra kuat,Sejujurnya aku ini tidak kuat
Terjemahkan ke bahasa Indonesia baku.,Cuma koi dalam sa pu hati,Hanya kamu di dalam hati saya
Terjemahkan ke bahasa Indonesia baku.,Bilang pada sa kalo rindu,Bilang pada saya kalau rindu.
Terjemahkan ke bahasa Indonesia baku.,Trada roti manis di dapur,Tidak ada roti manis di dapur
Terjemahkan ke bahasa Indonesia baku.,Trada baju baru di lemari,Tidak ada baju baru di lemari
Terjemahkan ke bahasa Indonesia baku.,Ko mo cari yang bagaimana,Kamu ingin mencari seperti apa
Terjemahkan ke bahasa Indonesia baku.,Jang bikin sa pusing ko e,Jangan bikin saya pusing kamu y
Terjemahkan ke bahasa Indonesia baku.,Tapi berubah jadi babi ko,Kamu berubah jadi jahat (kasar)
Terjemahkan ke bahasa Indonesia baku.,Kasih tangan sa yang kele,Genggaman tanganku yang terluka
Terjemahkan ke bahasa Indonesia baku.,Tra biskah ko dengar dulu,Tidak bisakah kamu dengar dulu?
Terjemahkan ke bahasa Indonesia baku.,Karna ko yang bisa sirami,Karena kamu yang bisa menyirami
Terjemahkan ke bahasa Indonesia baku.,Ko su belajar matematika?,Apakah kamu belajar matematika?
Terjemahkan ke bahasa Indonesia baku.,Ko su bermain di halaman?,Apakah kamu bermain di halaman?
Terjemahkan ke bahasa Indonesia baku.,Seperti gambar tra mo say,"Seperti gambar, tak bisa kuhapus"
Terjemahkan ke bahasa Indonesia baku.,Kalo ko su putus deng dia,Kalau kamu sudah putus dengan dia
Terjemahkan ke bahasa Indonesia baku.,Ko su dengar musik keras?,Apakah kamu mendengar musik keras?
Terjemahkan ke bahasa Indonesia baku.,Ko su bicara dengan guru?,Apakah kamu berbicara dengan guru?
Terjemahkan ke bahasa Indonesia baku.,Dorang ke warung beli air,Mereka pergi ke warung membeli air
Terjemahkan ke bahasa Indonesia baku.,sa yang tau sa kas senang,aku yang tahu cara membuatmu senang
Terjemahkan ke bahasa Indonesia baku.,Akhirnya ko yang terakhir,Tapi akhirnya kamu yang jadi terakhir
Terjemahkan ke bahasa Indonesia baku.,Dua perangko su trada lem,Seperti dua perangko yang sudah tak ada lemnya
Terjemahkan ke bahasa Indonesia baku.,Sa ada ni janji ni anjani,"Sa ada ni janji ni Anjani (Janji ku ada, Anjani)"
Terjemahkan ke bahasa Indonesia baku.,Karna su laju tapi ko rem,Karena hubungan sudah berjalan tapi kamu malah berhenti
Terjemahkan ke bahasa Indonesia baku.,Bapa tra ada di rumah kah?,Ayah tidak ada di rumah?
Terjemahkan ke bahasa Indonesia baku.,Biarkanlah sa yang terluka,Biarkan aku yang terluka
Terjemahkan ke bahasa Indonesia baku.,Masalah budget itu gampang,Masalah biaya itu gampang
Terjemahkan ke bahasa Indonesia baku.,Always ko beautiful shawty,"Kamu selalu cantik, sayang"
Terjemahkan ke bahasa Indonesia baku.,Tong pergi ke sekolah pagi,Kami pergi ke sekolah pagi
Terjemahkan ke bahasa Indonesia baku.,Dan cinta ini ko su ingkar,Dan cinta ini kamu khianati
Terjemahkan ke bahasa Indonesia baku.,Tinggalkan ia yang terbaik,Tinggalkan dia yang terbaik
Terjemahkan ke bahasa Indonesia baku.,enak macam papeda deng heu,enak seperti papeda dan heu
Terjemahkan ke bahasa Indonesia baku.,Arah hati sa yang tentukan,Arah hati aku yang tentukan
Terjemahkan ke bahasa Indonesia baku.,Dan percuma ko kasih ruang,Dan percuma kamu beri ruang
Terjemahkan ke bahasa Indonesia baku.,Ade yang itu kaka love you,"Orang itu, kakak mencintaimu"
Terjemahkan ke bahasa Indonesia baku.,Ingat ko pu cara sa su tau,"Ingat, aku sudah tahu caramu"
Terjemahkan ke bahasa Indonesia baku.,Walau memang sungguh berat,Meskipun memang sangat berat
Terjemahkan ke bahasa Indonesia baku.,Sa tidur sebentar di kamar,Saya tidur sebentar di kamar
Terjemahkan ke bahasa Indonesia baku.,Jang sampe dukun bertindak,Jangan sampai dukun bertindak
Terjemahkan ke bahasa Indonesia baku.,Bandar jang bingung disitu,Bandar jangan bingung di situ
Terjemahkan ke bahasa Indonesia baku.,Dorang main drum di studio,Mereka bermain drum di studio
Terjemahkan ke bahasa Indonesia baku.,De kan lupa kam pu masalah,Mereka sudah lupa masalah kita
Terjemahkan ke bahasa Indonesia baku.,Wasa datang rakab do oh oh,"Kalau datang, rasakanlah oh oh"
Terjemahkan ke bahasa Indonesia baku.,Masih ada yang lebih layak,Masih banyak yang lebih pantas
Terjemahkan ke bahasa Indonesia baku.,Ko kenapa sayang bulan ini,"Kenapa kamu, sayang, bulan ini"
Terjemahkan ke bahasa Indonesia baku.,Dorang dengerin radio pagi,Mereka mendengarkan radio pagi
Terjemahkan ke bahasa Indonesia baku.,Trada telur di kulkas tong,Tidak ada telur di kulkas kami
Terjemahkan ke bahasa Indonesia baku.,Trada sayur di lemari tong,Tidak ada sayur di lemari kami
Terjemahkan ke bahasa Indonesia baku.,Dong main bola di lapangan,Mereka bermain bola di lapangan
Terjemahkan ke bahasa Indonesia baku.,Ko su jalan sama tong bel?,Apakah kamu jalan bersama kami?
Terjemahkan ke bahasa Indonesia baku.,Jang ko marah-marah trus a,Jangan kamu marah-marah terus ah
Terjemahkan ke bahasa Indonesia baku.,Ko pung motor su rusak ka?,Kamu punya motor sudah rusak ya?
Terjemahkan ke bahasa Indonesia baku.,Karna sa lihat ko deng dia,Karena aku lihat kamu dengan dia
Terjemahkan ke bahasa Indonesia baku.,Terlalu sibuk bicara orang,Terlalu sibuk membicarakan orang
Terjemahkan ke bahasa Indonesia baku.,"Ko hanya sayang dia, hu-wo","Kamu hanya menyayangi dia, hu-wo"
Terjemahkan ke bahasa Indonesia baku.,Ko su pergi ke kantor pos?,Apakah kamu pergi ke kantor pos?
Terjemahkan ke bahasa Indonesia baku.,Ko su membaca buku cerita?,Apakah kamu membaca buku cerita?
Terjemahkan ke bahasa Indonesia baku.,Kam beli minuman di warung,Mereka membeli minuman di warung
Terjemahkan ke bahasa Indonesia baku.,Dorang ke warung kopi sore,Mereka pergi ke warung kopi sore
Terjemahkan ke bahasa Indonesia baku.,Dorang ke warung kopi pagi,Mereka pergi ke warung kopi pagi
Terjemahkan ke bahasa Indonesia baku.,Ko tra percaya deng sa ka?,Kamu tidak percaya dengan saya ya
Terjemahkan ke bahasa Indonesia baku.,Biar ko rasa dan ko dengar,Biar kamu merasakan dan mendengar
Terjemahkan ke bahasa Indonesia baku.,Eh ampun sa tra bisa tahan,"Aduh, aku tidak bisa menahan diri"
Terjemahkan ke bahasa Indonesia baku.,Ko kas semua ni berantakan,Kamu buat semuanya jadi berantakan
Terjemahkan ke bahasa Indonesia baku.,"Ada cela sayang, kaka lego","Ada kritik, sayang, kakak lepaskan"
Terjemahkan ke bahasa Indonesia baku.,Sa yang ice but you so hot,"Aku dingin, tapi kamu begitu panas"
Terjemahkan ke bahasa Indonesia baku.,Tambah dulu sa rasa kurang,"Tambah dulu, aku rasa masih kurang"
Terjemahkan ke bahasa Indonesia baku.,Simpan cinta dalam pikiran,Menyimpan cinta hanya dalam pikiran
Terjemahkan ke bahasa Indonesia baku.,"Tempel tapi sulo, damn hey","Ditempel tapi tetap lepas, ya ampun"
Terjemahkan ke bahasa Indonesia baku.,Ko su dengar suara anjing?,Apakah kamu mendengar suara anjing?
Terjemahkan ke bahasa Indonesia baku.,Hati dan ko acok jadi luka,Hati ini jadi luka karena kamu rusak
Terjemahkan ke bahasa Indonesia baku.,Sa tra suka ko marah-marah,Saya tidak suka jika kamu marah-marah
Terjemahkan ke bahasa Indonesia baku.,Su tra lagi tong baku sapa,Lambat laun kita tak lagi saling menyapa
Terjemahkan ke bahasa Indonesia baku.,Aro nanjika laut ko strika,"Aduh, kalau laut bergelombang kau setrika"
Terjemahkan ke bahasa Indonesia baku.,Menyesal kenapa sa pi buka,Aku menyesal kenapa dulu aku membuka hati
Terjemahkan ke bahasa Indonesia baku.,Lama sa jaga temani tenang,"Sejak lama aku menjaga, menemani dalam tenang"
Terjemahkan ke bahasa Indonesia baku.,Tidak penting juga buat apa,Itu tidak penting juga
Terjemahkan ke bahasa Indonesia baku.,Spesial weed buat ko dargan,"Spesial, untukmu sayang"
Terjemahkan ke bahasa Indonesia baku.,Pilih mana mana yang ko mau,Pilih mana yang kamu mau
Terjemahkan ke bahasa Indonesia baku.,"Boh sayang, ko itu sa punya","Kekasih, kamu itu milikku"
Terjemahkan ke bahasa Indonesia baku.,Ko ganggu sa pu pikiran ini,Kamu ganggu pikiranku ini
Terjemahkan ke bahasa Indonesia baku.,Ko pu foto ada di sa sampul,Foto kamu ada di sampulku
Terjemahkan ke bahasa Indonesia baku.,Tapi karna ko punya ego ado,Tapi karena egomu sendiri
Terjemahkan ke bahasa Indonesia baku.,Ko su latihan gitar dorang?,Apakah kamu latihan gitar?
Terjemahkan ke bahasa Indonesia baku.,Ko bilang apa barusan? kah?,Apa yang kamu bilang tadi??
Terjemahkan ke bahasa Indonesia baku.,Dorang selfie di taman sore,Mereka selfie di taman sore
Terjemahkan ke bahasa Indonesia baku.,Tong belajar bahasa Inggris,Kami belajar bahasa Inggris
Terjemahkan ke bahasa Indonesia baku.,Dorang selfie di taman kota,Mereka selfie di taman kota
Terjemahkan ke bahasa Indonesia baku.,Yang kian hancur berantakan,Yang makin hancur berantakan
Terjemahkan ke bahasa Indonesia baku.,Siap-siap pi lepas landasan,Bersiap lepas landasan hidup
Terjemahkan ke bahasa Indonesia baku.,Masih ada sa pu cinta tulus,Masih ada cintaku yang tulus
Terjemahkan ke bahasa Indonesia baku.,Ko deng dia ada hubungan? e,Kamu dan dia ada hubungan? ya
Terjemahkan ke bahasa Indonesia baku.,Jang lanjut chat nanti laba,Jangan lanjut chat nanti rugi
Terjemahkan ke bahasa Indonesia baku.,Hati ni bilong yu meri lewa,"Hatiku milikmu, Meri tercinta"
Terjemahkan ke bahasa Indonesia baku.,Jeruk di Nabire de pu manis,Jeruk di Nabire rasanya manis
Terjemahkan ke bahasa Indonesia baku.,Tapi ko sulo baru pilih dia,Karena kamu sudah memilih dia
Terjemahkan ke bahasa Indonesia baku.,Ko tra bisa hidup tanpa dia,Kamu tak bisa hidup tanpa dia
Terjemahkan ke bahasa Indonesia baku.,Jadi ko marah-marah jadinya,Akhirnya kamu marah-marah saja
Terjemahkan ke bahasa Indonesia baku.,Aduh sio eh macam tra mampu,"Aduh sayang, rasanya tak mampu"
Terjemahkan ke bahasa Indonesia baku.,Sa selalu lihat de pukul ko,Aku selalu lihat dia memukulmu
Terjemahkan ke bahasa Indonesia baku.,Hati ni ko ikat tra berdaya,Hati ini kamu ikat tak berdaya
Terjemahkan ke bahasa Indonesia baku.,Ingat kasih kabar eh sayang,"Jangan lupa beri kabar, sayang"
Terjemahkan ke bahasa Indonesia baku.,Pigi jo pigi jo deng dia ey,"Pergilah, pergilah bersama dia"
Terjemahkan ke bahasa Indonesia baku.,Tong jemur pakaian di teras,Kami menjemur pakaian di teras
Terjemahkan ke bahasa Indonesia baku.,Kam belajar matematika sore,Mereka belajar matematika sore
Terjemahkan ke bahasa Indonesia baku.,Kam belajar matematika pagi,Mereka belajar matematika pagi
Terjemahkan ke bahasa Indonesia baku.,Sayang kalo bosan ko bilang,"Sayang, kalau bosan bilang saja"
Terjemahkan ke bahasa Indonesia baku.,Walau bertahan su tara bisa,"Meskipun bertahan, aku tak bisa"
Terjemahkan ke bahasa Indonesia baku.,pigi pigi ko ikut ko pu mau,pergi pergi kamu ikut kemauanmu
Terjemahkan ke bahasa Indonesia baku.,Ternyata barang su di dalam,Ternyata semuanya sudah terjadi
Terjemahkan ke bahasa Indonesia baku.,Trada susu hangat di kulkas,Tidak ada susu hangat di kulkas
Terjemahkan ke bahasa Indonesia baku.,Trada air di sumur belakang,Tidak ada air di sumur belakang
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di rumah tong,Tidak ada listrik di rumah kami
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di ruang tamu,Tidak ada listrik di ruang tamu
Terjemahkan ke bahasa Indonesia baku.,Sa tra tau dia ada di mana.,Saya tidak tahu dia ada di mana.
Terjemahkan ke bahasa Indonesia baku.,De bawa satu botol saja neh,Mereka cuma bawa satu botol saja
Terjemahkan ke bahasa Indonesia baku.,Tabe di tra usah main ganas,"Maaf, tidak usah bertindak kasar"
Terjemahkan ke bahasa Indonesia baku.,Bukan tra bisa jumpa sayang,"Bukan tidak bisa bertemu, sayang"
Terjemahkan ke bahasa Indonesia baku.,Ok good bless biar sa pamit,"Oke, Tuhan memberkati, aku pamit"
Terjemahkan ke bahasa Indonesia baku.,Sa bicara dengan teman lama,Saya berbicara dengan teman lama
Terjemahkan ke bahasa Indonesia baku.,Kam nonton film komedi sore,Mereka menonton film komedi sore
Terjemahkan ke bahasa Indonesia baku.,Lalui kapan tanpa kepastian,Kita lewati kapan tanpa kepastian
Terjemahkan ke bahasa Indonesia baku.,Maaf bila cinta tong begini,Maaf bila cinta kita seperti ini.
Terjemahkan ke bahasa Indonesia baku.,Ko su pergi ke rumah teman?,Apakah kamu pergi ke rumah teman?
Terjemahkan ke bahasa Indonesia baku.,Kam main gitar di sore hari,Mereka bermain gitar di sore hari
Terjemahkan ke bahasa Indonesia baku.,Kita pigi sekolah sama-sama,Kita pergi ke sekolah bersama-sama
Terjemahkan ke bahasa Indonesia baku.,Ko tra liat kunci motor sa?,Kamu tidak lihat kunci motor saya?
Terjemahkan ke bahasa Indonesia baku.,Jang terlalu mengekang rasa,Jangan terlalu mengekang perasaan.
Terjemahkan ke bahasa Indonesia baku.,Dan kini sa sesali lepas ko,Dan kini aku menyesal melepaskanmu
Terjemahkan ke bahasa Indonesia baku.,Sa coba mo dekat tambah sey,Saya coba mendekat malah makin jauh
Terjemahkan ke bahasa Indonesia baku.,Pergi kalau buat koi senang,Pergilah jika itu membuatmu bahagia
Terjemahkan ke bahasa Indonesia baku.,Kalo memang tra bisa sayang,Kalau memang tidak bisa lagi sayang
Terjemahkan ke bahasa Indonesia baku.,Baku rangkul cinta sa pikul,Aku akan memeluk dan memikul cintaku
Terjemahkan ke bahasa Indonesia baku.,Sabar pasti sa akan kembali,"Bersabarlah, pasti saya akan kembali."
Terjemahkan ke bahasa Indonesia baku.,Apa ko memang tra sayang sa,Apakah kamu memang tidak sayang padaku
Terjemahkan ke bahasa Indonesia baku.,Ko tra mengerti tanya sebab,"Kamu tidak mengerti, tanya saja kenapa"
Terjemahkan ke bahasa Indonesia baku.,Ko kasih luka ni kaka Remco,"Kamu kasih luka ini, wahai kakak Remco"
Terjemahkan ke bahasa Indonesia baku.,Sa yang tau cara kas senang,Aku yang tahu bagaimana membuatmu bahagia
Terjemahkan ke bahasa Indonesia baku.,Sudah lah sa mo lanjut siram,"Sudah, saya lanjut saja"
Terjemahkan ke bahasa Indonesia baku.,Rindukan moment yang sa like,Rindu momen yang aku suka
Terjemahkan ke bahasa Indonesia baku.,sejauh apa ko melangkah tapi,sejauh apa kamu melangkah
Terjemahkan ke bahasa Indonesia baku.,Jangan lagi ada rasa kasihan,Jangan lagi merasa kasihan
Terjemahkan ke bahasa Indonesia baku.,Rasa yang dulu akan su habis,Rasa yang dulu sudah habis
Terjemahkan ke bahasa Indonesia baku.,Trada listrik di rumah trada,Tidak ada listrik di rumah
Terjemahkan ke bahasa Indonesia baku.,Yang lebih lincah kas nyaman,Yang lebih asyik dan nyaman
Terjemahkan ke bahasa Indonesia baku.,Sa tra nganteng sama deng ko,Diri aku tidak sekeren kamu
Terjemahkan ke bahasa Indonesia baku.,Ko macam beda deng yang lain,Kamu berbeda dari yang lain
Terjemahkan ke bahasa Indonesia baku.,Dia yang su pernah menyakiti,Dia yang pernah menyakitimu
Terjemahkan ke bahasa Indonesia baku.,"Cuma khayalan saja, tra papa","Hanya khayalan saja, tak apa"
